@@,itemlabel,item,startdate,enddate
+++,Omurbek Tekebaev,Q297568,2005-03-27,2006-02-27
+++,Marat Sultanov,,2006-03-02,2007-10-22
+++,Adahan Madumarov,,2007-12-24,2008-05-29
+++,Aytibay Tagaev,,2008-05-29,2009-12-17
+++,Zaynidin Kurmanov,,2009-12-24,2010-06-06
+++,Ahmatbek Keldibekov,Q4700766,2010-12-17,2011-12-14
+++,Asılbek Jeenbekov,Q4182022,2011-12-21,2016-04-13
+++,Chynybaĭ Tursunbekov,Q21144397,2016-04-27,2017-10-25
+++,Dastan Jumabekov,Q25597842,2017-10-25,2020-10-06
+++,Myktybek Abdyldayev,Q25597822,2020-10-06,2020-10-10
