wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q110086085,Осоев Эркинбек Арстанбекович,Осоев Эркинбек Арстанбекович,male,,,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q110086208,Транспорт жана коммуникациялар министри,2021-10-13,Q110086085-5DB31468-B3AA-494F-9601-9468B8E0AA74
Q110086086,Ниязбеков Улан Омоканович,Ниязбеков Улан Омоканович,male,,,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q110084444,Ички иштер министри,2021-10-13,Q110086086-600DFED0-A580-4159-AD2D-E82BD505C055
Q110086087,Кутманова Динара Асиевна,Кутманова Динара Асиевна,female,1961-10-31,11,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q110086211,"Жаратылыш ресурстары, экология жана техникалык көзөмөл министри",2021-10-13,Q110086087-17EAD949-E71D-4BE0-9F44-7F5A33B8E275
Q110086088,Купешев Болотбек Душекович,Купешев Болотбек Душекович,male,,,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q110086212,Билим берүү жана илим министри,2021-10-13,Q110086088-41341A27-2392-4FFE-8428-78FA02CBF055
Q110086089,Жаныбеков Аскарбек Сапарбекович,Жаныбеков Аскарбек Сапарбекович,male,,,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q110084474,Айыл чарба министри,2021-10-13,Q110086089-36772CD0-C48D-4CC9-B5B9-7CA860527A8B
Q110086090,Жаманкулов Азамат Капарович,Жаманкулов Азамат Капарович,male,,,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q110084540,"Маданият, маалымат, спорт жана жаштар саясаты министри",2021-10-13,Q110086090-3DFBCCA1-D1FC-4D29-BAA3-8BA4AB062A86
Q110086092,Бекмурзаев Доскул Джумагулович,Бекмурзаев Доскул Джумагулович,male,,,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q110086214,Энергетика министри,2021-10-13,Q110086092-FFFEE627-56FE-4CD4-9511-842E49F44925
Q110086093,Бекболотов Бактыбек Асанкалиевич,Бекболотов Бактыбек Асанкалиевич,male,,,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q110084396,Коргоо министри,2021-10-13,Q110086093-CD4C45FD-C3A6-43EC-93FF-D40477BBF3BA
Q110086094,Бейшеналиев Алымкадыр Сабирдинович,Бейшеналиев Алымкадыр Сабирдинович,male,,,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q110086215,Саламаттык сактоо министри,2021-10-13,Q110086094-B977A027-6B2D-48DC-8546-B40B243FAAF3
Q110086095,Бакетаев Алмаз Кушбекович,Бакетаев Алмаз Кушбекович,male,,,https://www.gov.kg/ky/gov/s/103,2022-01-14,Q110084386,Финансы министри,2021-10-13,Q110086095-940C5B27-6342-4787-9117-98C501B6E423
Q110086096,Байсалов Эдиль Жолдубаевич,Байсалов Эдиль Жолдубаевич,male,,,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q29561881,Министрлер Кабинетинин Төрагасынын орун басары,2021-10-13,Q110086096-225C700E-1179-4D34-950E-A2F8F14F4443
Q110086097,Баетов Аяз Батыркулович,Баетов Аяз Батыркулович,male,,,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q110084404,Юстиция министри,2021-10-13,Q110086097-403BA642-D7C7-42CA-98F0-E83DFDFDE8A4
Q110086098,Амангельдиев Данияр Джолдошевич,Амангельдиев Данияр Джолдошевич,male,,,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q110086216,Экономика жана коммерция министри,2021-10-13,Q110086098-101F3E5A-224A-468B-94C1-6E47572D19C4
Q110086100,Ажикеев Бообек Эргешевич,Ажикеев Бообек Эргешевич,male,,,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q110084504,Өзгөчө кырдаалдар министри,2021-10-13,Q110086100-A7FAABE8-76E9-4C5F-A1EC-F07264CF0596
Q110086101,Аалиев Азиз Кубанычбекович,Аалиев Азиз Кубанычбекович,male,,,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q29561881,Министрлер Кабинетинин Төрагасынын орун басары,2021-10-13,Q110086101-78F483FE-2D60-4F33-B7A0-F62DCAEA3C88
Q110086685,Базарбаев Кудайберген Базарбаевич,Базарбаев Кудайберген Базарбаевич,male,1958-01-01,9,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q110087294,"Эмгек, социалдык камсыздоо жана миграция министри",2021-10-13,Q110086685-C1C7A070-32E6-49E7-915F-0D897B84469F
Q110087319,Кожошев Арзыбек Орозбекович,Кожошев Арзыбек Орозбекович,male,,,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q29561881,Министрлер Кабинетинин Төрагасынын биринчи орун басары,2021-10-13,Q110087319-20FC02E7-14F2-41A0-BF4A-995A1A55A925
Q110553190,Иманов Талантбек Орускулович,Иманов Талантбек Орускулович,male,,,https://www.gov.kg/ky/gov/s/103,2022-01-14,Q110086213,Санариптик өнүктүрүү министри,2022-01-06,Q110553190-D11AAFE2-D8E1-4DAA-8E9D-8A8ABA57EBE2
Q1584976,Ташиев Камчыбек Кыдыршаевич,Камчыбек Ташиев,male,1968-09-27,11,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q29561881,Министрлер Кабинетинин Төрагасынын орун басары,2021-10-13,Q1584976-51ECAF97-2017-4958-A004-9D10B9F21C3E
Q1584976,Ташиев Камчыбек Кыдыршаевич,Камчыбек Ташиев,male,1968-09-27,11,https://www.gov.kg/ky/gov/s/103,2021-12-13,Q110086186,Улуттук коопсуздук мамлекеттик комитетинин төрагасы,2021-10-13,Q1584976-69631876-1647-4E01-B0F1-F8C98DE22F12
Q25597826,Садыр Жапаров,Садыр Жапаров,male,1968-12-06,11,,,Q853036,Кыргыз Республикасынын Президенти,2021-01-28,Q25597826-8824524c-45ad-3b08-9ffc-9c8c564d44e1
Q4060344,Жапаров Акылбек Усенбекович,Акылбек Жапаров,male,1964-09-14,11,https://www.gov.kg/ky/gov/s/103,,Q2333371,КР Министрлер Кабинетинин Төрагасы,2021-10-12,Q4060344-90D7C3C1-8D2E-43F2-A9FA-2168985919E7
Q58312,Казакбаев Руслан Айтбаевич,Казакбаев Руслан Айтбаевич,male,1967-05-18,11,https://www.gov.kg/ky/gov/s/103,2022-01-14,Q109445425,Тышкы иштер министри,2020-10-14,Q58312-49d27fbb-4c83-8eaf-b64b-14ff233ac041
